_id,level,max_velocity,name,type
308479629,3,-1.0,(không tên),unclassified
309091600,3,-1.0,(không tên),tertiary
309569628,3,-1.0,(không tên),unclassified
309569638,3,-1.0,(không tên),unclassified
309579663,3,-1.0,(không tên),tertiary
310900571,3,-1.0,Đường số 26,tertiary
311378702,1,-1.0,Vòng xoay,primary
311378706,3,-1.0,Phan Văn Trị,tertiary
311687973,0,120.0,Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,motorway
311688116,0,80.0,Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,motorway
311688117,0,60.0,Đường Cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,motorway
312016073,3,-1.0,Trường Sa,tertiary
312160890,2,-1.0,(không tên),secondary_link
312371747,0,80.0,Cầu vượt Hương lộ 2,trunk
312371748,0,80.0,Cầu vượt Hương lộ 2,trunk
312917607,3,-1.0,(không tên),unclassified
312917608,3,-1.0,(không tên),unclassified
312917609,3,-1.0,(không tên),unclassified
312918511,3,-1.0,(không tên),unclassified
312918512,3,-1.0,(không tên),unclassified
312918513,3,-1.0,(không tên),unclassified
314200398,2,40.0,Nguyễn Văn Linh,primary_link
315564842,1,-1.0,Hoàng Văn Thụ,primary
315635807,3,-1.0,(không tên),unclassified
315658194,1,-1.0,Cầu Phú Long,primary
315658210,1,-1.0,Cầu Phú Long,primary
315658232,3,-1.0,Thạnh Lộc 29,tertiary
315658247,1,-1.0,(không tên),primary
315658252,1,-1.0,(không tên),primary
315718671,1,-1.0,Cầu Trùm Bích,primary
315718672,1,-1.0,Hà Huy Giáp,primary
315718690,3,-1.0,Thạnh Lộc 29,unclassified
315718700,3,-1.0,Thạnh Lộc 29,unclassified
315718744,3,-1.0,Thạnh Lộc 30,unclassified
315886649,3,-1.0,Xuân Thới 3,unclassified
315886652,3,-1.0,(không tên),unclassified
315886659,3,-1.0,(không tên),unclassified
315886662,3,-1.0,(không tên),unclassified
315886669,3,-1.0,Xuân Thới Thuượng 7,unclassified
315886702,3,-1.0,(không tên),unclassified
315886704,3,-1.0,(không tên),tertiary
315886728,3,-1.0,BÀ Diểm 3,unclassified
315886733,3,-1.0,(không tên),unclassified
315886742,3,-1.0,(không tên),unclassified
315886762,3,-1.0,(không tên),unclassified
315886776,3,-1.0,(không tên),unclassified
315886780,3,-1.0,Hậu Lân - Bà Diểm,unclassified
315886782,3,-1.0,(không tên),unclassified
315886785,3,-1.0,(không tên),unclassified
315886799,3,-1.0,(không tên),unclassified
315899291,3,-1.0,(không tên),tertiary
315899292,3,-1.0,(không tên),tertiary
315899293,3,-1.0,(không tên),tertiary
315899295,2,-1.0,(không tên),secondary_link
315899296,3,-1.0,(không tên),tertiary
315899297,2,-1.0,(không tên),secondary_link
315899299,2,-1.0,(không tên),secondary_link
315899300,2,-1.0,(không tên),secondary
315899301,3,-1.0,(không tên),tertiary
315899302,3,40.0,(không tên),tertiary
315899303,3,-1.0,(không tên),tertiary
315899305,3,-1.0,(không tên),tertiary
315899308,2,-1.0,D2,secondary
316618619,1,-1.0,Nguyễn Hữu Thọ,primary
316618666,1,-1.0,Nguyễn Hữu Thọ,primary
316618923,2,-1.0,Nguyễn Lương Bằng,secondary
317064968,3,-1.0,(không tên),tertiary
317158381,2,60.0,Nhánh B1A,motorway_link
317200050,0,80.0,Mai Chí Thọ,trunk
317200051,0,40.0,Mai Chí Thọ,trunk
317200052,0,60.0,Mai Chí Thọ,trunk
317314468,3,-1.0,Phú Thuận,unclassified
317314469,2,-1.0,Huỳnh Tấn Phát,secondary
317348793,2,-1.0,(không tên),secondary_link
317348794,2,-1.0,(không tên),secondary_link
318026807,3,-1.0,Trần Huy Liệu,tertiary
318034466,2,-1.0,Nhánh A2,motorway_link
318079306,2,60.0,Nhánh B1,motorway_link
318079823,0,80.0,Cao tốc TP. Hồ Chí Minh - Long Thành - Dầu Giây,motorway
318170833,2,-1.0,Nhánh B2,motorway_link
318180350,1,40.0,Mai Chí Thọ,primary
318180351,0,60.0,Mai Chí Thọ,trunk
318180352,1,50.0,Mai Chí Thọ,primary
318212119,2,-1.0,Nhánh B2,motorway_link
318212123,0,80.0,Đường Cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,motorway
318273451,3,-1.0,(không tên),unclassified
318273453,3,-1.0,(không tên),unclassified
319309752,3,-1.0,Nguyễn Thông,unclassified
319790115,1,-1.0,Cầu vượt Lý Thái Tổ - Nguyễn Tri Phương,primary
320164938,3,-1.0,Trường Sa,tertiary
320379105,3,-1.0,Lê Thánh Tôn,tertiary
320379106,3,-1.0,Lê Thánh Tôn,tertiary
320897201,2,-1.0,Nhánh D2,motorway_link
320897717,2,-1.0,X5,motorway_link
320897719,2,-1.0,X4,motorway_link
320897720,0,60.0,Đường cao tốc Tp. Hồ Chí Minh-Long Thành-Dầu Giây,motorway
320897721,2,60.0,Nhánh A2,motorway_link
320897724,2,-1.0,Nhánh B2,motorway_link
321568283,2,-1.0,(không tên),trunk_link
322142359,1,-1.0,Cầu vượt Lăng Cha Cả,primary
322191373,0,80.0,Xa Lộ Hà Nội,trunk
322875685,3,-1.0,Tô Ngọc Vân,tertiary
322875688,3,-1.0,(không tên),unclassified
322875716,3,-1.0,Thạnh Lộc 43,unclassified
322876364,3,-1.0,(không tên),unclassified
322879711,3,-1.0,(không tên),unclassified
322879723,3,-1.0,(không tên),unclassified
322993689,3,-1.0,(không tên),unclassified
322993691,3,-1.0,(không tên),unclassified
322993695,3,-1.0,(không tên),unclassified
322993705,3,-1.0,(không tên),unclassified
322993709,2,-1.0,(không tên),trunk_link
322993714,3,-1.0,(không tên),unclassified
323050271,3,-1.0,(không tên),tertiary
323397719,1,-1.0,Tôn Ðức Thắng,primary
323398643,0,60.0,Nhánh A1,motorway
323398644,2,-1.0,Nhánh B2,motorway_link
325369869,1,-1.0,Nguyễn Hữu Cảnh,primary
326770976,2,-1.0,Nguyễn Trãi,secondary
326770977,3,-1.0,Lê Lai,tertiary
326770978,1,-1.0,Trần Hưng Ðạo,primary
326770982,2,-1.0,Hàm Nghi,secondary
326770983,3,-1.0,Pasteur,tertiary
326770986,1,-1.0,Pasteur,primary
326770989,3,-1.0,Quốc lộ 1,tertiary
326770991,0,60.0,Cầu vượt Linh Xuân,trunk
326770992,0,60.0,Cầu vượt Linh Xuân,trunk
326770994,0,60.0,Quốc lộ 1,trunk
326770995,0,60.0,Quốc lộ 1,trunk
326770998,3,-1.0,(không tên),tertiary
326771000,3,-1.0,Quốc lộ 1,tertiary
326771002,3,-1.0,Dương Văn Cam,tertiary
326771003,1,50.0,Điện Biên Phủ,primary
326771004,3,-1.0,Nguyễn Bỉnh Khiêm,tertiary
326771005,3,-1.0,Nguyễn Ðình Chiểu,tertiary
326771006,3,-1.0,Nam Kỳ Khởi Nghĩa,tertiary
326771007,3,-1.0,Nam Kỳ Khởi Nghĩa,tertiary
326772491,3,-1.0,Hàm Nghi,tertiary
326846278,3,-1.0,Cầu Calmette,tertiary
326848001,2,40.0,Châu Văn Liêm,secondary
326848004,1,-1.0,Công Trường Mê Linh,primary
326848005,1,-1.0,Công Trường Mê Linh,primary
